run,model,accuracy,precision,recall,f1,specificity,auc,train_time_s
0,SVM_RBF,0.6875,1.0,0.375,0.5454545454545454,1.0,0.734375,4.381693601608276
1,SVM_RBF,0.3125,0.0,0.0,0.0,0.625,0.359375,0.18596839904785156
2,SVM_RBF,0.4375,0.4444444444444444,0.5,0.47058823529411764,0.375,0.359375,0.20186901092529297
3,SVM_RBF,0.5625,0.5384615384615384,0.875,0.6666666666666666,0.25,0.640625,0.12806200981140137
4,SVM_RBF,0.75,0.75,0.75,0.75,0.75,0.21875,0.16284847259521484
5,SVM_RBF,0.5625,0.6,0.375,0.46153846153846156,0.75,0.328125,0.12580347061157227
6,SVM_RBF,0.5625,0.5384615384615384,0.875,0.6666666666666666,0.25,0.53125,0.13048028945922852
7,SVM_RBF,0.6875,0.6666666666666666,0.75,0.7058823529411765,0.625,0.40625,0.12500667572021484
8,SVM_RBF,0.5,0.5,0.375,0.42857142857142855,0.625,0.46875,0.12189531326293945
9,SVM_RBF,0.5,0.5,0.625,0.5555555555555556,0.375,0.5,0.12010049819946289
